questionId,category,state,lengthDiff,correctLength,maxOtherLength,question,optionA,optionB,optionC,optionD,correctAnswer
NC-035,stateUnique,NC,26,48,22,"What is North Carolina law regarding school buses?","Stop only on same side","Stop in both directions unless divided by median","Slow to 25 mph","Stop only if signaled",B
OH-012,gdlLicensing,OH,26,44,18,"What must Ohio teens complete before road testing?","Nothing additional","Driver education and temporary permit period","Only written test","Only vision test",B
OR-035,stateUnique,OR,26,48,22,"What is Oregon law regarding school buses?","Stop only on same side","Stop in both directions unless divided by median","Slow to 25 mph","Stop only if signaled",B
UT-010,gdlLicensing,UT,26,38,12,"What happens if a Utah provisional driver violates restrictions?","Warning only","License suspension for 1 month or more","Points only","Fine only",B
UT-034,stateUnique,UT,26,48,22,"What should Utah drivers know about winter driving?","Mild winters","Mountain passes may require chains or snow tires","Snow is rare","Chains always required",B
VT-026,duiStateLaws,VT,26,48,22,"What is required for Vermont DUI offenders?","Nothing special","Ignition interlock device and alcohol assessment","Community service only","Fines only",B
WA-017,cellPhone,WA,26,46,20,"Can Washington drivers use phones at red lights?","Yes when stopped","No cannot hold or use device even when stopped","Only for emergencies","Only for GPS",B
WA-040,stateUnique,WA,26,47,21,"What should Washington drivers know about the left lane?","Open to all traffic","Keep right except to pass on multilane highways","Only for trucks","Only during rush hour",B
AR-014,cellPhone,AR,25,40,15,"What are the cell phone rules for drivers under 18 in Arkansas?","Same as adults","No cell phone use at all even hands-free","Hands-free only","No restrictions",B
CA-034,stateUnique,CA,25,45,20,"How does California handle out-of-state traffic violations?","They are ignored","Points may be added to your California record","Only accidents count","Only DUIs transfer",B
CT-024,duiStateLaws,CT,25,49,24,"What is implied consent in Connecticut?","You can refuse tests","By driving you consent to BAC testing if arrested","You agree to searches","You must carry insurance",B
CT-026,duiStateLaws,CT,25,48,23,"Can you be charged with OUI without a BAC test in Connecticut?","No BAC test required","Yes based on officer observations and impairment","Only if you refuse test","Only for drugs",B
FL-023,duiStateLaws,FL,25,49,24,"What is implied consent in Florida?","You can refuse tests","By driving you consent to BAC testing if arrested","You agree to searches","You must carry insurance",B
KY-011,gdlLicensing,KY,25,44,19,"Can Kentucky parents restrict their teen's license further?","No state rules only","Yes through written agreement with the court","Only for curfew","Only first 30 days",B
KY-024,duiStateLaws,KY,25,47,22,"What is Kentucky implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
KY-028,insurance,KY,25,49,24,"What is unique about Kentucky insurance?","Standard at-fault only","Drivers can opt out of no-fault and choose to sue","No minimum required","State provides insurance",B
LA-024,duiStateLaws,LA,25,47,22,"What is Louisiana implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
ME-013,cellPhone,ME,25,44,19,"What is Maine cell phone law for drivers under 18?","Hands-free only","No cell phone use while vehicle is in motion","Same as adults","Texting only banned",B
ME-038,stateUnique,ME,25,43,18,"What is Maine Turnpike?","Regular highway","Toll road requiring cash or E-ZPass payment","Free for residents","Only for trucks",B
MD-013,cellPhone,MD,25,44,19,"What is Maryland cell phone law for drivers under 18?","Hands-free only","No cell phone use while vehicle is in motion","Same as adults","Texting only banned",B
MA-016,cellPhone,MA,25,38,13,"What are the penalties for cell phone violations in Massachusetts?","25 dollars","100 dollars first 250 second 500 third","50 dollars","Warning first",B
MI-014,cellPhone,MI,25,44,19,"What is Michigan cell phone law for all drivers?","No restrictions","Texting and other manual use of phone banned","Hands-free required","Complete ban",B
MN-006,gdlLicensing,MN,25,44,19,"How many passengers can a Minnesota provisional driver carry in the first 6 months?","No limit","1 passenger under 20 unless immediate family","2 passengers","Only family members",B
NE-006,gdlLicensing,NE,25,44,19,"How many passengers can a Nebraska POP holder carry in the first 6 months?","No limit","1 passenger under 19 unless immediate family","2 passengers","Only family members",B
NH-016,cellPhone,NH,25,38,13,"What are the penalties for cell phone violations in New Hampshire?","25 dollars","100 dollars first 250 second 500 third","50 dollars","Warning first",B
NH-024,duiStateLaws,NH,25,47,22,"What is New Hampshire implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
NC-024,duiStateLaws,NC,25,47,22,"What is North Carolina implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
OK-006,gdlLicensing,OK,25,44,19,"How many passengers can an Oklahoma intermediate driver carry?","No limit","1 passenger for first 6 months unless family","2 passengers","Only family members",B
OK-038,stateUnique,OK,25,46,21,"What should Oklahoma drivers watch for in rural areas?","Nothing special","Oil field equipment and cattle guards on roads","Only on private roads","Only during drilling",B
PA-024,duiStateLaws,PA,25,47,22,"What is Pennsylvania implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
RI-016,cellPhone,RI,25,38,13,"What are the penalties for cell phone violations in Rhode Island?","25 dollars","100 dollars first 250 second 500 third","50 dollars","Warning first",B
RI-024,duiStateLaws,RI,25,47,22,"What is Rhode Island implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
SC-024,duiStateLaws,SC,25,47,22,"What is South Carolina implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
SD-024,duiStateLaws,SD,25,47,22,"What is South Dakota implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
TN-024,duiStateLaws,TN,25,47,22,"What is Tennessee implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
VA-024,duiStateLaws,VA,25,47,22,"What is Virginia implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
WA-024,duiStateLaws,WA,25,47,22,"What is Washington implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
WV-024,duiStateLaws,WV,25,47,22,"What is West Virginia implied consent law?","Consent to searches","Driving constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
WI-006,gdlLicensing,WI,25,44,19,"How many passengers can a Wisconsin probationary driver carry?","No limit","1 passenger for first 9 months unless family","2 passengers","Only family members",B
WY-018,cellPhone,WY,25,48,23,"Are there local Wyoming areas with stricter phone laws?","No state law is uniform","Yes some cities may have additional restrictions","Only Cheyenne","Only Jackson",B
AZ-009,gdlLicensing,AZ,24,48,24,"Can teen drivers use cell phones while driving in Arizona?","Yes at any time","Yes with hands-free only","No not for the first 6 months except emergencies","Only for GPS",C
CT-002,gdlLicensing,CT,24,26,2,"How old must the supervising driver be in Connecticut?","18","20 with 4 years experience","21","25",B
DE-009,gdlLicensing,DE,24,41,17,"What happens if a permit holder violates driving restrictions in Delaware?","Warning only","50-200 dollar fine and 2-month suspension","Points only","Community service",B
DE-010,gdlLicensing,DE,24,38,14,"What happens to the sponsor if they knowingly allow GDL violations in Delaware?","Nothing","They can be charged with a misdemeanor","Fine only","Warning letter",B
FL-040,stateUnique,FL,24,32,8,"What is the maximum number of passengers allowed for any Florida driver?","5","Equal to the number of seatbelts","8","No limit",B
KY-013,cellPhone,KY,24,43,19,"What is Kentucky cell phone law for drivers under 18?","Hands-free only","No personal communication device use at all","Same as adults","Texting only banned",B
ME-017,cellPhone,ME,24,34,10,"What exceptions exist for Maine cell phone law?","None","Emergency calls and hands-free use","Calls only","GPS use",B
MD-016,cellPhone,MD,24,37,13,"What are the penalties for cell phone violations in Maryland?","25 dollars","Up to 500 dollars for repeat offenses","100 dollars","Warning first",B
MD-018,cellPhone,MD,24,34,10,"What exceptions exist for Maryland cell phone law?","None","Emergency calls and hands-free use","GPS only","Calls only",B
MA-035,stateUnique,MA,24,46,22,"What is Massachusetts law regarding school buses?","Stop only on same side","Stop in both directions unless divided highway","Slow to 20 mph","Stop only if signaled",B
MN-016,cellPhone,MN,24,44,20,"What can drivers do under Minnesota hands-free law?","Nothing with phone","Use voice commands or single touch to answer","Read texts at lights","Hold phone for GPS",B
NV-012,gdlLicensing,NV,24,41,17,"What must Nevada parents certify for their teen?","Nothing required","Completion of 50 hours supervised driving","Insurance only","School attendance",B
NH-018,cellPhone,NH,24,34,10,"What exceptions exist for New Hampshire cell phone law?","None","Emergency calls and hands-free use","GPS only","Calls only",B
ND-037,stateUnique,ND,24,44,20,"What should North Dakota drivers watch for on rural roads?","Nothing special","Farm equipment wildlife and limited services","Only during harvest","Only on county roads",B
OR-040,stateUnique,OR,24,41,17,"What should Oregon drivers know about studded tires?","Legal year-round","Only permitted from November 1 to April 1","Never permitted","Only in mountains",B
SC-016,cellPhone,SC,24,37,13,"What are the penalties for texting while driving in South Carolina?","25 dollars","25 dollars first up to 100 subsequent","50 dollars","Warning first",B
SD-026,duiStateLaws,SD,24,46,22,"What program may South Dakota DUI offenders participate in?","Nothing special","24/7 Sobriety Program with twice-daily testing","Community service only","Alcohol classes only",B
TN-011,gdlLicensing,TN,24,41,17,"What must Tennessee parents certify for their teen?","Nothing required","Completion of 50 hours supervised driving","Insurance only","School attendance",B
UT-011,gdlLicensing,UT,24,41,17,"What must Utah parents certify for their teen?","Nothing required","Completion of 40 hours supervised driving","Insurance only","School attendance",B
UT-012,gdlLicensing,UT,24,43,19,"Can Utah parents restrict their teen's driving beyond state requirements?","No state rules only","Yes by working with Driver License Division","Only first 30 days","Only for curfew",B
VT-018,cellPhone,VT,24,34,10,"What exceptions exist for Vermont cell phone law?","None","Emergency calls and hands-free use","GPS only","Calls only",B
WA-038,stateUnique,WA,24,41,17,"What should Washington drivers know about studded tires?","Legal year-round","Only permitted from November 1 to April 1","Never permitted","Only in mountains",B
WY-010,gdlLicensing,WY,24,36,12,"What happens if a Wyoming intermediate driver violates restrictions?","Warning only","License suspension for up to 90 days","Points only","Fine only",B
AK-011,gdlLicensing,AK,23,48,25,"What must happen for a provisional license holder to have restrictions lifted before age 18 in Alaska?","Complete a driving course","Hold the license for 6 months with no violations","Pay a fee","Pass another road test",B
AZ-006,gdlLicensing,AZ,23,42,19,"What are the nighttime driving restrictions for new Class G license holders in Arizona?","No driving 10pm-5am","No driving 11pm-6am","No driving midnight-5am for first 6 months","No restrictions",C
AZ-035,stateUnique,AZ,23,31,8,"How long is an Arizona driver license valid?","4 years","8 years","Until age 65 then every 5 years","12 years",C
CA-029,insurance,CA,23,48,25,"What can happen if you drive without insurance in California?","Warning only","Fines vehicle impoundment and license suspension","Points only","Nothing for first offense",B
FL-002,gdlLicensing,FL,23,48,25,"What course must you complete before getting a Florida learner's permit?","Nothing required","Traffic Law and Substance Abuse Education course","Defensive driving course","Online safety course only",B
FL-003,gdlLicensing,FL,23,25,2,"How old must the supervising driver be in Florida?","18","19","21 with 1 year experience","25",C
FL-020,duiStateLaws,FL,23,48,25,"What is Florida's policy for underage drinking and driving?","Same as adults","Zero tolerance with immediate license revocation","0.02% limit","Warning for first offense",B
FL-030,insurance,FL,23,45,22,"What does PIP insurance cover in Florida?","Other drivers injuries","Your own medical expenses regardless of fault","Vehicle damage","Theft protection",B
HI-014,cellPhone,HI,23,39,16,"What cell phone restrictions apply to Hawaii drivers under 18?","Hands-free only","No cell phone use at all except for 911","Same as adults","Texting ban only",B
ID-015,cellPhone,ID,23,42,19,"Is one-touch activation allowed under Idaho's hands-free law?","No touching allowed","Yes single touch to activate or deactivate","Only for calls","Only for GPS",B
IL-013,cellPhone,IL,23,39,16,"What is Illinois cell phone law for drivers under 19?","Hands-free only","No cell phone use at all except for 911","Same as adults","Texting ban only",B
KY-035,stateUnique,KY,23,45,22,"What is Kentucky law regarding school buses?","Stop only on same side","Stop in both directions on undivided highways","Slow to 20 mph","Stop only if signaled",B
MA-028,insurance,MA,23,41,18,"What type of coverage is required in Massachusetts?","Only liability","Personal injury protection plus liability","Only collision","Comprehensive only",B
MN-028,insurance,MN,23,41,18,"What coverage is required in Minnesota?","Only liability","Personal injury protection plus liability","Only collision","Comprehensive only",B
NE-036,stateUnique,NE,23,41,18,"Are right turns on red permitted in Nebraska?","Never","Yes after complete stop unless prohibited","Only outside Omaha","Only with arrow",B
NV-026,duiStateLaws,NV,23,44,21,"Can Nevada police obtain blood draws without consent?","No warrant required","Yes if exigent circumstances or with warrant","Never without consent","Only for felony DUI",B
NV-038,stateUnique,NV,23,39,16,"What are Nevada laws on passing on the right?","Never permitted","Permitted on multi-lane roads when safe","Only on highways","Only in cities",B
NH-012,gdlLicensing,NH,23,45,22,"What is unique about New Hampshire adult driver licensing?","Same as other states","No mandatory insurance requirement for adults","Higher age requirement","No road test",B
NJ-024,duiStateLaws,NJ,23,45,22,"What is New Jersey implied consent law?","Consent to searches","Driving constitutes consent to breath testing","Consent to field tests","Consent to blood only",B
NY-028,insurance,NY,23,41,18,"What coverage is required in New York?","Only liability","Personal injury protection plus liability","Only collision","Comprehensive only",B
ND-028,insurance,ND,23,41,18,"What coverage is required in North Dakota?","Only liability","Personal injury protection plus liability","Only collision","Comprehensive only",B
RI-006,gdlLicensing,RI,23,42,19,"How many passengers can a Rhode Island limited provisional driver carry?","No limit","1 non-family passenger for first 12 months","2 passengers","Only family members",B
TN-040,stateUnique,TN,23,44,21,"What is unique about Tennessee slow poke law?","No such law","Left lane is for passing only on interstates","Left lane open to all","Only in cities",B
VA-010,gdlLicensing,VA,23,35,12,"What happens if a Virginia provisional driver violates restrictions?","Warning only","License suspension for up to 1 year","Points only","Fine only",B
AR-024,duiStateLaws,AR,22,40,18,"Can prescription drugs lead to a DWI charge in Arkansas?","No only alcohol","Yes if they impair your ability to drive","Only illegal drugs","Only with alcohol",B
CA-038,stateUnique,CA,22,42,20,"Can you make a U-turn in a business district in California?","Never","Yes at intersections unless signs prohibit","Only with signal","Only in parking lots",B
FL-036,stateUnique,FL,22,45,23,"What are the penalties for commercial drivers texting in Florida?","Same as regular drivers","Up to 2750 dollar fine and license suspension","Warning only","Points only",B
GA-012,gdlLicensing,GA,22,44,22,"What document must Georgia parents sign for their teen to get a license?","Insurance waiver","Certificate of Supervised Driving Experience","School attendance form","Medical clearance",B
IN-030,insurance,IN,22,47,25,"What happens if you drive without insurance in Indiana?","Warning for first offense","License suspension fines and reinstatement fees","Small fine only","Community service",B
IA-015,cellPhone,IA,22,44,22,"What equipment is exempt from Iowa's teen cell phone ban?","All hands-free devices","Only permanently installed vehicle equipment","After-market Bluetooth","GPS devices",B
KS-036,stateUnique,KS,22,41,19,"Are right turns on red permitted in Kansas?","Never","Yes after complete stop unless prohibited","Only outside cities","Only with arrow",B
KS-040,stateUnique,KS,22,46,24,"What should Kansas drivers watch for in rural areas?","Nothing special","Farm equipment livestock and wildlife on roads","Only during harvest","Only in designated areas",B
KY-029,insurance,KY,22,42,20,"Must Kentucky drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
LA-029,insurance,LA,22,42,20,"Must Louisiana drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
ME-029,insurance,ME,22,42,20,"Must Maine drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
MA-029,insurance,MA,22,42,20,"Must Massachusetts drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
MI-009,gdlLicensing,MI,22,45,23,"Is driver education required in Michigan?","No it is optional","Yes Segment 1 and Segment 2 training required","Only classroom portion","Only for those under 16",B
MI-012,gdlLicensing,MI,22,41,19,"Can Michigan parents restrict their teen's driving privileges further?","No state rules only","Yes through the Secretary of State office","Only first 30 days","Only for curfew",B
MI-029,insurance,MI,22,42,20,"Must Michigan drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
MN-029,insurance,MN,22,42,20,"Must Minnesota drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
MS-029,insurance,MS,22,42,20,"Must Mississippi drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
MO-029,insurance,MO,22,42,20,"Must Missouri drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
MT-029,insurance,MT,22,42,20,"Must Montana drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
NE-016,cellPhone,NE,22,35,13,"What are the penalties for cell phone violations in Nebraska?","25 dollars","First 200 dollars then 300 then 500","100 dollars","Warning first",B
NE-029,insurance,NE,22,42,20,"Must Nebraska drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
NE-037,stateUnique,NE,22,42,20,"What should Nebraska drivers watch for in agricultural areas?","Nothing special","Slow farm equipment and livestock on roads","Only during harvest","Only on county roads",B
NV-029,insurance,NV,22,42,20,"Must Nevada drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
NH-036,stateUnique,NH,22,41,19,"Are right turns on red permitted in New Hampshire?","Never","Yes after complete stop unless prohibited","Only outside cities","Only with arrow",B
NJ-029,insurance,NJ,22,42,20,"Must New Jersey drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
NM-029,insurance,NM,22,42,20,"Must New Mexico drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
NM-036,stateUnique,NM,22,41,19,"Are right turns on red permitted in New Mexico?","Never","Yes after complete stop unless prohibited","Only outside cities","Only with arrow",B
NC-029,insurance,NC,22,42,20,"Must North Carolina drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
NC-036,stateUnique,NC,22,41,19,"Are right turns on red permitted in North Carolina?","Never","Yes after complete stop unless prohibited","Only outside cities","Only with arrow",B
ND-029,insurance,ND,22,42,20,"Must North Dakota drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
ND-036,stateUnique,ND,22,41,19,"Are right turns on red permitted in North Dakota?","Never","Yes after complete stop unless prohibited","Only outside cities","Only with arrow",B
OH-029,insurance,OH,22,42,20,"Must Ohio drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
OH-036,stateUnique,OH,22,41,19,"Are right turns on red permitted in Ohio?","Never","Yes after complete stop unless prohibited","Only outside cities","Only with arrow",B
OK-029,insurance,OK,22,42,20,"Must Oklahoma drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
OK-036,stateUnique,OK,22,41,19,"Are right turns on red permitted in Oklahoma?","Never","Yes after complete stop unless prohibited","Only outside cities","Only with arrow",B
OR-013,cellPhone,OR,22,41,19,"What is Oregon cell phone law for drivers under 18?","Hands-free only","No mobile device use at all while driving","Same as adults","Texting only banned",B
OR-029,insurance,OR,22,42,20,"Must Oregon drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
PA-029,insurance,PA,22,42,20,"Must Pennsylvania drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
RI-029,insurance,RI,22,42,20,"Must Rhode Island drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
SC-029,insurance,SC,22,42,20,"Must South Carolina drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
SC-040,stateUnique,SC,22,42,20,"What is unique about South Carolina's points system?","Same as other states","12 points in 2 years results in suspension","6 points threshold","No points system",B
SD-029,insurance,SD,22,42,20,"Must South Dakota drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
SD-036,stateUnique,SD,22,41,19,"Are right turns on red permitted in South Dakota?","Never","Yes after complete stop unless prohibited","Only outside cities","Only with arrow",B
TN-012,gdlLicensing,TN,22,41,19,"Can Tennessee parents restrict their teen's driving beyond state requirements?","No state rules only","Yes by notifying the Department of Safety","Only first 30 days","Only for curfew",B
TN-029,insurance,TN,22,42,20,"Must Tennessee drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
TX-014,cellPhone,TX,22,42,20,"What is Texas cell phone law for all drivers?","No restrictions","Texting while driving prohibited statewide","Hands-free required","Only in school zones",B
TX-036,stateUnique,TX,22,41,19,"Are right turns on red permitted in Texas?","Never","Yes after complete stop unless prohibited","Only outside cities","Only with arrow",B
UT-029,insurance,UT,22,42,20,"Must Utah drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
VT-029,insurance,VT,22,42,20,"Must Vermont drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
VA-036,stateUnique,VA,22,41,19,"Are right turns on red permitted in Virginia?","Never","Yes after complete stop unless prohibited","Only outside cities","Only with arrow",B
WA-029,insurance,WA,22,42,20,"Must Washington drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
WV-029,insurance,WV,22,42,20,"Must West Virginia drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
WI-009,gdlLicensing,WI,22,54,32,"Is driver education required in Wisconsin?","No it is optional","Not required but provides permit at 15.5 instead of 16","Only for permit holders under 16","Only after violations",B
WI-029,insurance,WI,22,42,20,"Must Wisconsin drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
WY-029,insurance,WY,22,42,20,"Must Wyoming drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
WY-036,stateUnique,WY,22,41,19,"Are right turns on red permitted in Wyoming?","Never","Yes after complete stop unless prohibited","Only outside cities","Only with arrow",B
AK-034,stateUnique,AK,21,47,26,"Does Alaska's DUI law apply to watercraft and aircraft?","No only motor vehicles","Yes implied consent applies to boats and planes","Only to commercial vessels","Only in certain areas",B
CT-036,stateUnique,CT,21,30,9,"What curfew exception exists for Connecticut teen drivers?","None","School or religious activities","Work only","Dating",B
DE-008,gdlLicensing,DE,21,45,24,"What are the nighttime driving rules during Level 1 Phase 2 in Delaware?","No nighttime driving","Supervised 10pm-6am and unsupervised 6am-10pm","24-hour supervision","Midnight-5am restriction",B
DE-029,insurance,DE,21,39,18,"What PIP coverage is required in Delaware?","None","15000 per person and 30000 per accident","5000 per person","50000 per accident",B
GA-030,insurance,GA,21,46,25,"What happens if you drive without insurance in Georgia?","Warning for first offense","License and registration suspension plus fines","Small fine only","Points on license only",B
ID-006,gdlLicensing,ID,21,43,22,"What passenger restrictions apply to Idaho drivers under 17 during the first 6 months?","No passengers under 21","Maximum 1 passenger under 17 unless related","No restrictions","Only family members",B
IL-030,insurance,IL,21,46,25,"What happens if you drive without insurance in Illinois?","Warning for first offense","License and registration suspension plus fines","Small fine only","Community service",B
IN-034,stateUnique,IN,21,44,23,"What is unique about Indiana time zones?","Entire state is Eastern","Split between Eastern and Central time zones","Entire state is Central","No daylight saving time",B
KS-029,insurance,KS,21,42,21,"Must Kansas drivers carry proof of insurance?","Only when registering","Yes at all times while operating a vehicle","Only for new cars","Only after accidents",B
KY-017,cellPhone,KY,21,39,18,"Does Kentucky ban apply to reading texts?","No only sending","Yes reading and writing both prohibited","Only at red lights","Only while moving",B
MI-024,duiStateLaws,MI,21,38,17,"What happens if you refuse a BAC test in Michigan?","Warning only","1 year license suspension and 6 points","30 day suspension","Same as passing",B
MI-036,stateUnique,MI,21,41,20,"Are right turns on red permitted in Michigan?","Never","Yes after complete stop unless prohibited","Only outside Detroit","Only with arrow",B
MS-036,stateUnique,MS,21,41,20,"Are right turns on red permitted in Mississippi?","Never","Yes after complete stop unless prohibited","Only outside Jackson","Only with arrow",B
MT-017,cellPhone,MT,21,42,21,"Does Montana texting ban apply to stopped vehicles?","No only while moving","Yes applies to any time vehicle is on road","Only at intersections","Only in traffic",B
NH-038,stateUnique,NH,21,45,24,"What is unique about New Hampshire's motto regarding driving?","No special meaning","Live Free or Die but driving laws still apply","No seat belt requirement","No helmet law",B
ND-017,cellPhone,ND,21,44,23,"Does North Dakota have local areas with stricter phone laws?","No state law is uniform","Yes some cities have additional restrictions","Only Fargo","Only Bismarck",B
OH-008,gdlLicensing,OH,21,48,27,"Who must supervise an Ohio permit holder?","Any licensed driver","Licensed parent guardian or certified instructor","Licensed driver 21 or older","Any adult",B
OK-012,gdlLicensing,OK,21,40,19,"What must Oklahoma parents sign for their teen to get a license?","Nothing required","Parental consent and responsibility form","Insurance waiver","School verification",B
OK-026,duiStateLaws,OK,21,43,22,"What is required for Oklahoma DUI offenders?","Nothing special","Ignition interlock device for all offenders","Community service only","Fines only",B
OR-012,gdlLicensing,OR,21,42,21,"What driving log must Oregon teens maintain?","None required","Supervised driving log certified by parent","Only instructor hours","50-hour log",B
OR-026,duiStateLaws,OR,21,43,22,"What is required for Oregon DUII offenders?","Nothing special","Ignition interlock device for all offenders","Community service only","Fines only",B
TN-006,gdlLicensing,TN,21,40,19,"How many passengers can a Tennessee intermediate driver carry?","No limit","1 passenger for first year unless family","2 passengers","Only family members",B
TX-026,duiStateLaws,TX,21,35,14,"When does DWI become a felony in Texas?","Second offense","Third offense","First offense with child in vehicle","Fourth offense",C
VA-009,gdlLicensing,VA,21,43,22,"Is driver education required in Virginia?","No it is optional","Yes classroom and behind-the-wheel required","Only classroom portion","Only for under 17",B
WA-036,stateUnique,WA,21,41,20,"Are right turns on red permitted in Washington?","Never","Yes after complete stop unless prohibited","Only outside Seattle","Only with arrow",B
U-116,safeDriving,ALL,20,30,10,"When should you use cruise control?","On highways in good conditions","In traffic","In rain","On curves",A
AZ-017,cellPhone,AZ,20,45,25,"Is Arizona's hands-free law a primary enforcement offense?","No it is secondary","Yes officers can pull you over for this alone","Only in certain cities","Only for repeat offenders",B
CA-006,gdlLicensing,CA,20,42,22,"What passenger restrictions apply to provisional license holders in California?","No passengers under 18","No passengers under 20 for first 12 months","No passengers under 21","One passenger only",B
CA-013,cellPhone,CA,20,45,25,"Can drivers under 18 use a hands-free phone while driving in California?","Yes hands-free is allowed","No all phone use is banned except emergencies","Yes with Bluetooth only","Only for GPS",B
CA-030,insurance,CA,20,43,23,"What does liability insurance protect against in California?","Your own vehicle damage","Claims from others if you cause an accident","Theft and vandalism","Your medical bills",B
CO-025,duiStateLaws,CO,20,49,29,"What is express consent in Colorado?","You can refuse tests","By driving you consent to BAC testing if arrested","You agree to vehicle searches","You must carry insurance",B
CO-030,insurance,CO,20,43,23,"What does liability insurance protect against in Colorado?","Your own vehicle damage","Claims from others if you cause an accident","Theft and vandalism","Your own medical bills",B
CT-030,insurance,CT,20,43,23,"What does liability insurance protect against in Connecticut?","Your own vehicle damage","Claims from others if you cause an accident","Theft and vandalism","Your medical bills",B
CT-031,stateUnique,CT,20,36,16,"What must you do when approaching a stopped emergency vehicle in Connecticut?","Slow down only","Move over or slow down significantly","Stop completely","Flash headlights",B
DE-007,gdlLicensing,DE,20,43,23,"What passenger restrictions apply during mandatory supervision in Delaware?","No passengers","Only 1 non-family passenger plus supervisor","Two passengers under 21","Unlimited family",B
DE-030,insurance,DE,20,43,23,"What does liability insurance protect against in Delaware?","Your own vehicle damage","Claims from others if you cause an accident","Theft and vandalism","Your medical bills",B
DE-031,stateUnique,DE,20,36,16,"What must you do when approaching a stopped emergency vehicle in Delaware?","Slow down only","Move over or slow down significantly","Stop completely","Flash headlights",B
HI-004,gdlLicensing,HI,20,42,22,"What passenger restrictions apply during the first 6 months of a Hawaii provisional license?","No passengers under 18","Maximum 1 passenger under 18 unless family","No restrictions","Only adults allowed",B
